City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Mindelo,CV,2022-03-27 21:06:07,16.8901,-24.9804,71.15,68,75,5.75
213,Kushima,JP,2022-03-27 21:06:08,31.4583,131.2333,54.88,65,100,9.8
214,Oriximina,BR,2022-03-27 21:06:08,-1.7656,-55.8661,82.06,81,93,2.01
215,Talnakh,RU,2022-03-27 21:01:45,69.4865,88.3972,4.41,96,100,5.46
216,Jamkhed,IN,2022-03-27 21:06:09,18.7362,75.3121,86.59,19,3,12.5
217,Doha,QA,2022-03-27 21:06:09,25.2867,51.5333,66.18,50,0,17.27
218,Manzhouli,CN,2022-03-27 21:06:10,49.6,117.4333,21.87,44,91,3.04
219,Whitehorse,CA,2022-03-27 21:06:10,60.7161,-135.0538,37.09,50,84,1.01
220,Wagar,SD,2022-03-27 21:06:11,16.1525,36.2032,74.1,48,8,14.29
221,Bay Roberts,CA,2022-03-27 21:06:11,47.5999,-53.2648,43.05,86,100,3.0
222,Batagay-Alyta,RU,2022-03-27 21:06:12,67.8006,130.4114,-14.57,90,29,6.35
223,Omboue,GA,2022-03-27 21:06:12,-1.5746,9.2618,79.52,91,70,9.42
224,Santa Fe,AR,2022-03-27 21:03:45,-31.6333,-60.7,81.99,48,6,3.0
225,Zabol,AF,2022-03-27 21:06:13,32.25,67.25,55.29,21,0,8.99
226,Zyryanka,RU,2022-03-27 21:06:13,65.75,150.85,-11.18,100,83,7.4
227,Murray Bridge,AU,2022-03-27 21:06:14,-35.1167,139.2667,60.78,84,81,6.55
228,Astana,KZ,2022-03-27 21:06:14,51.1801,71.446,31.95,100,100,13.42
229,Keti Bandar,PK,2022-03-27 21:07:15,24.1447,67.4497,78.49,71,0,12.46
230,Ponta Do Sol,PT,2022-03-27 21:07:15,32.6667,-17.1,63.05,80,12,6.02
231,Touros,BR,2022-03-27 21:07:16,-5.1989,-35.4608,80.58,80,36,11.3
232,Moindou,NC,2022-03-27 21:07:16,-21.6924,165.677,77.29,73,36,3.51
233,Ust-Maya,RU,2022-03-27 21:07:17,60.4167,134.5333,-15.09,100,100,1.92
234,Meadow Lake,US,2022-03-27 21:02:30,34.8014,-106.5436,79.84,7,98,5.91
235,Hailey,US,2022-03-27 21:07:18,43.5196,-114.3153,61.0,69,100,4.23
236,Dingle,PH,2022-03-27 21:07:18,10.9995,122.6711,75.54,92,63,7.67
237,Malindi,KE,2022-03-27 21:07:18,-3.2175,40.1191,80.26,83,44,8.28
238,Oktyabrskoye,RU,2022-03-27 21:03:34,43.0645,44.7417,33.94,75,99,11.18
239,Serbanesti,RO,2022-03-27 21:07:19,44.3333,24.7,51.58,43,0,19.57
240,Coquimbo,CL,2022-03-27 21:03:16,-29.9533,-71.3436,66.2,73,24,6.38
241,Mahebourg,MU,2022-03-27 21:03:21,-20.4081,57.7,77.25,75,11,8.21
242,Quatre Cocos,MU,2022-03-27 21:06:04,-20.2078,57.7625,77.09,75,10,7.96
243,Los Llanos De Aridane,ES,2022-03-27 21:07:21,28.6585,-17.9182,60.55,92,75,5.75
244,Morehead,US,2022-03-27 21:07:21,37.2711,-87.1764,48.99,38,0,8.05
245,Shakawe,BW,2022-03-27 21:07:22,-18.3667,21.85,70.57,64,51,4.94
246,Oga,IT,2022-03-27 21:07:22,46.4631,10.347,42.69,75,16,1.23
247,Icononzo,CO,2022-03-27 21:07:23,4.177,-74.5325,68.9,87,92,2.13
248,Champerico,GT,2022-03-27 21:07:23,14.3,-91.9167,81.14,63,57,12.44
249,Tarko-Sale,RU,2022-03-27 21:07:24,64.9225,77.785,4.05,97,70,10.11
250,Palmeiras De Goias,BR,2022-03-27 21:07:24,-16.805,-49.9258,73.11,84,65,7.76
251,Atar,MR,2022-03-27 21:07:25,20.5169,-13.0499,77.99,13,88,3.96
252,Kijang,KR,2022-03-27 21:07:25,35.2442,129.2139,48.24,46,100,12.66
253,Jiexiu,CN,2022-03-27 21:07:26,37.0244,111.9125,45.5,34,14,3.98
254,Ponta Delgada,PT,2022-03-27 21:07:26,37.7333,-25.6667,61.52,82,20,13.8
255,Geraldton,AU,2022-03-27 21:12:49,-28.7667,114.6,73.81,78,75,9.22
256,Krasnoselkup,RU,2022-03-27 21:12:49,65.7,82.4667,-6.02,100,73,6.76
257,Radcliff,US,2022-03-27 21:12:50,37.8404,-85.9491,48.11,32,0,11.5
258,Viedma,AR,2022-03-27 21:12:50,-40.8135,-62.9967,71.8,25,0,6.13
259,Straumen,NO,2022-03-27 21:12:50,63.8709,11.2999,41.0,83,100,27.51
260,Saint-Augustin,CA,2022-03-27 21:12:51,51.226,-58.6502,33.03,95,100,20.56
261,Jatiroto,ID,2022-03-27 21:12:51,-7.8833,111.1167,73.54,89,99,2.33
262,Ageyevo,RU,2022-03-27 21:12:52,54.1588,36.4693,23.27,74,96,13.89
263,Hasaki,JP,2022-03-27 21:12:53,35.7333,140.8333,48.6,76,100,12.59
264,Dudinka,RU,2022-03-27 21:12:53,69.4058,86.1778,4.6,97,96,6.02
265,Ibra,OM,2022-03-27 21:12:54,22.6906,58.5334,77.34,29,1,4.94
266,Monte Azul,BR,2022-03-27 21:12:54,-15.155,-42.8747,82.63,42,91,5.66
267,Saint-Gaudens,FR,2022-03-27 21:12:54,43.0833,0.6667,52.02,75,13,6.62
268,Yerofey Pavlovich,RU,2022-03-27 21:28:27,53.9667,121.9667,11.32,98,84,1.36
269,Kharp,RU,2022-03-27 21:28:28,66.8014,65.8081,14.68,95,100,11.25
270,Sterlibashevo,RU,2022-03-27 21:28:28,53.4376,55.2578,32.77,98,100,11.14
271,Klaksvik,FO,2022-03-27 21:28:29,62.2266,-6.589,40.12,89,100,15.84
272,Ammon,US,2022-03-27 21:28:29,43.4696,-111.9666,68.5,28,0,5.75
273,Constitucion,CL,2022-03-27 21:28:29,-35.3333,-72.4167,63.39,68,73,15.64
274,Kudahuvadhoo,MV,2022-03-27 21:28:30,2.6708,72.8944,81.77,68,55,6.24
275,Narsaq,GL,2022-03-27 21:28:30,60.9167,-46.05,41.22,63,100,9.24
276,Aswan,EG,2022-03-27 21:28:31,24.0934,32.907,66.04,14,100,13.22
277,Sur,OM,2022-03-27 21:28:31,22.5667,59.5289,78.76,56,0,2.64
278,Santiago Del Estero,AR,2022-03-27 21:28:32,-27.7951,-64.2615,87.8,28,0,8.77
279,Kampene,CD,2022-03-27 21:28:32,-3.6,26.6667,69.91,99,100,2.95
280,Urucui,BR,2022-03-27 21:28:33,-7.2294,-44.5561,79.97,81,100,0.56
281,San Ramon,US,2022-03-27 21:24:42,37.7799,-121.978,68.95,59,0,12.66
282,Shelkovskaya,RU,2022-03-27 21:28:33,43.5069,46.3392,39.27,88,94,13.29
283,Rock Springs,US,2022-03-27 21:28:34,41.5875,-109.2029,71.04,11,0,11.5
284,Porto Velho,BR,2022-03-27 21:28:34,-8.7619,-63.9039,77.05,94,40,2.3
285,Mercedes,AR,2022-03-27 21:28:35,-34.6515,-59.4307,78.64,53,0,4.54
286,Hanna,CA,2022-03-27 21:24:59,51.6334,-111.9018,46.51,41,99,8.25
287,Portsmouth,GB,2022-03-27 21:28:35,50.799,-1.0913,50.97,87,0,4.0
288,Rio Branco,BR,2022-03-27 21:28:36,-9.9747,-67.81,81.21,83,75,4.61
289,Brawley,US,2022-03-27 21:28:36,32.9787,-115.5303,89.85,16,0,12.66
290,Xingcheng,CN,2022-03-27 21:28:37,40.6167,120.7167,38.43,44,0,9.89
291,Huangmei,CN,2022-03-27 21:28:37,30.1924,116.025,55.29,83,100,3.15
292,Hurghada,EG,2022-03-27 21:28:37,27.2574,33.8129,63.97,31,2,17.43
